dob,name,wage,weekwage,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
12/7/95,Simon Mignolet," £55,000.00 ", £55.00 ,185cm,75kg,33,65,0,25,1,36.48,86,2,8,0,0,0,289,1,117,161,2,299,5,12,139,0,97,508,397,158,84%,124,103,389,21%,6,,,,,,0,23,81,2,0,,,,,,,,
8/23/83,Sofiane Boufal," £65,000.00 ", £65.00 ,188cm,83kg,85,194,9,90,2,27.05,250,1,46,5,1,1,11,2,391,335,9,"2,312",2,36,918,4,643,"1,215",813,765,76%,444,24,687,27%,5,,,,,,2,64,267,5,7,,,,,,,,
10/9/92,Sofiane Feghouli," £65,000.00 ", £65.00 ,180cm,80kg,10,35,35,13,0,34.43,35,0,9,0,0,0,17,1,33,84,0,49,2,7,22,1,107,159,145,14,76%,12,46,134,24%,3,0,0,0,22,23%,,,,,,,,,,,,,
12/7/97,Son Heung-Min," £85,000.00 ", £85.00 ,173cm,68kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
11/11/90,Stefano Okaka," £35,000.00 ", £35.00 ,175cm,69kg,14,18,0.24,20,0,36.18,45,7,1,4,0,7,35,0,31,48,6,22,6,15,13,0,52,191,201,31,77%,50,54,273,23%,4,1,0,8,65,54%,,,,,,,,,,,,,
9/17/93,Stephen Ireland," £33,000.00 ", £33.00 ,170cm,60kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
8/10/96,Stephen Kingsley," £3,000.00 ", £3.00 ,175cm,65kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
9/26/89,Stephen Ward," £28,000.00 ", £28.00 ,174cm,66kg,7,78,42,25,0,55.26,42,2,13,0,0,0,18,0,147,180,1,34,1,12,14,1,114,360,240,39,76%,37,81,400,28%,3,0,0,1,34,12%,,,,,,,,,,,,,
9/1/87,Steve Cook," £13,000.00 ", £13.00 ,179cm,74kg,120,393,0,52,1,50.47,225,11,47,1,0,0,77,0,454,945,10,370,7,44,152,2,631,"1,603","1,203",399,72%,339,58,"1,254",23%,57,0,0,5,143,24%,,,,,,,,,,,,,
1/11/88,Steve Mandanda," £70,000.00 ", £70.00 ,178cm,70kg,8,66,0.05,23,0,33.36,44,1,7,0,0,2,21,1,51,78,3,37,3,14,21,0,52,178,329,31,68%,73,49,288,24%,5,0,0,3,45,22%,,,,,,,,,,,,,
12/24/95,Steven Davis," £60,000.00 ", £60.00 ,173cm,69kg,0,6,5,3,0,14.6,5,0,2,0,0,0,12,0,4,9,0,1,0,2,0,,,,,,,,,,,,0,0,0,2,2%,,,,,,,,,,,,,
5/12/79,Steven Defour," £35,000.00 ", £35.00 ,191cm,70kg,49,110,10,65,2,26.56,165,2,13,9,1,0,9,3,266,232,6,"1,093",4,11,565,2,340,891,460,525,73%,247,37,585,33%,1,,,,,,4,47,220,6,2,,,,,,,,
12/6/87,Tendayi Darikwa," £10,000.00 ", £10.00 ,186cm,83kg,1,10,0,3,0,42.29,7,0,2,0,0,0,18,0,17,28,1,26,0,0,9,0,20,44,32,4,82%,8,7,36,33%,0,,,,,,0,1,10,0,0,,,,,,,,
9/21/89,Theo Walcott," £140,000.00 ", £140.00 ,180cm,74kg,7,33,2,21,0,34.28,40,1,11,2,0,0,57,1,82,70,0,246,0,2,167,0,127,219,155,105,70%,65,17,205,12%,0,,,,,,1,10,53,0,2,,,,,,,,
3/10/96,Thibaut Courtois," £100,000.00 ", £100.00 ,187cm,77kg,16,20,0.32,8,0,13.35,31,4,1,1,7,1,10,0,3,17,5,8,5,12,3,,,,,,,,,,,,0,0,3,37,41%,,,,,,,,,,,,,
12/4/94,Timothy Fosu-Mensah," £15,000.00 ", £15.00 ,187cm,77kg,3,9,0,2,0,39.29,7,0,1,0,0,0,0,1,23,17,0,41,0,1,17,0,25,29,17,6,76%,5,3,43,0%,0,,,,,,0,2,7,0,0,,,,,,,,
12/23/92,Tom Carroll," £35,000.00 ", £35.00 ,178cm,72kg,23,43,0.07,16,0,21.14,56,4,8,0,3,1,121,0,91,126,1,82,4,21,42,,,,,,,,,,,,0,0,3,66,21%,,,,,,,,,,,,,
12/23/90,Tom Davies," £6,000.00 ", £6.00 ,170cm,71kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
4/8/95,Tom Heaton," £35,000.00 ", £35.00 ,177cm,71kg,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
9/25/89,Tosin Adarabioyo," £5,000.00 ", £5.00 ,185cm,77kg,11,15,1,3,0,25.61,18,1,1,0,0,1,41,0,24,38,2,37,2,1,6,1,42,57,43,7,74%,11,1,73,29%,1,,,,,,0,1,15,0,1,,,,,,,,
5/11/86,Trent Alexander-Arnold," £12,000.00 ", £12.00 ,189cm,84kg,36,0,0,18,0,29.27,75,0,2,,,,,,,,,,,,,2,681,,,,,,,,,,,,,,,0,27,85,,,224,47,632,1,199,79,79,51
8/29/90,Troy Deeney," £45,000.00 ", £45.00 ,177cm,74kg,16,43,6,33,0,31.99,72,8,6,0,6,0,138,4,152,182,7,209,10,16,67,2,100,332,271,28,77%,42,90,440,21%,3,,,,,,1,13,113,2,2,,,,,,,,
7/29/89,Tyrone Mings," £16,000.00 ", £16.00 ,185cm,80kg,27,72,0.27,28,0,17.35,83,8,7,3,5,14,82,6,56,88,49,48,9,51,27,,,,,,,,,,,,0,0,16,210,34%,,,,,,,,,,,,,
1/31/82,Valon Behrami," £42,000.00 ", £42.00 ,183cm,74kg,12,3,0,27,2,20.92,52,0,0,,,,,,,,,,,,,2,353,,,,,,,,,,,,,,,0,12,70,,,133,29,433,3,127,35,28,18
7/2/89,Victor Moses," £75,000.00 ", £75.00 ,175cm,65kg,42,101,0,47,0,39.07,121,5,18,0,0,0,220,0,196,229,3,303,5,13,116,0,191,426,386,78,76%,122,42,505,21%,5,,,,,,1,35,140,0,1,,,,,,,,
7/10/82,Victor Wanyama," £26,000.00 ", £26.00 ,171cm,65kg,173,207,0.34,152,2,7.62,438,30,38,1,18,81,190,18,80,165,273,28,9,205,1,,,,,,,,,,,,10,0,48,765,39%,,,,,,,,,,,,,
10/15/88,Vincent Janssen," £34,000.00 ", £34.00 ,183cm,76kg,53,39,0.19,14,0,63.97,89,33,4,2,12,3,451,6,43,89,37,18,40,32,6,2,122,351,412,14,75%,41,151,381,38%,82,0,1,17,115,47%,,,,,,,,,,,,,
3/13/93,Vincent Kompany," £150,000.00 ", £150.00 ,191cm,77kg,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
1/27/83,Virgil van Dijk," £80,000.00 ", £80.00 ,193cm,83kg,0,0,0,0,0,28.5,2,0,0,,,,,,,,,,,,,0,19,,,,,,,,,,,,,,,0,0,2,,,10,0,22,0,6,2,4,1
11/3/94,Wayne Rooney," £300,000.00 ", £300.00 ,178cm,64kg,5,16,0,15,0,30.87,31,2,8,0,0,0,96,1,52,72,1,67,1,2,28,1,64,120,96,9,71%,9,28,147,16%,0,,,,,,0,2,41,1,1,,,,,,,,
1/2/87,Wayne Routledge," £36,000.00 ", £36.00 ,203cm,96kg,14,2,0,22,0,28.48,52,0,6,,,,,,,,,,,,,4,480,,,,,,,,,,,,,,,1,17,73,,,197,22,496,0,198,95,52,28
2/13/95,Wes Morgan," £60,000.00 ", £60.00 ,172cm,68kg,2,2,2,0,0,2.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0%,0,2,1,0%,0,0,0,0,1,1%,,,,,,,,,,,,,
5/2/98,Willian," £120,000.00 ", £120.00 ,185cm,64kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
3/29/91,Winston Reid," £60,000.00 ", £60.00 ,169cm,68kg,27,55,0.02,5,0,43.2,44,4,4,0,0,1,17,0,170,196,0,65,4,5,32,0,94,313,252,43,70%,66,55,393,29%,7,0,0,1,31,19%,,,,,,,,,,,,,
10/9/88,Xherdan Shaqiri," £65,000.00 ", £65.00 ,180cm,73kg,2,0,2,0,0,14.5,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,,,,,,,,,,,,0,0,0,1,1%,,,,,,,,,,,,,
9/9/91,Yannick Bolasie," £75,000.00 ", £75.00 ,179cm,67kg,73,124,0.16,22,0,40.41,128,19,16,2,2,17,296,5,69,284,13,107,19,84,36,0,242,594,730,79,76%,141,107,494,20%,18,2,2,18,267,32%,,,,,,,,,,,,,
6/27/97,Yaya Sanogo," £20,000.00 ", £20.00 ,183cm,75kg,0,0,2,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0%,0,1,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
1/15/94,Yaya Tour√©," £220,000.00 ", £220.00 ,188cm,88kg,36,76,0.07,15,0,49.8,71,4,15,3,1,1,71,0,133,138,2,194,6,18,123,3,203,359,298,159,80%,113,31,271,20%,6,0,0,2,48,19%,,,,,,,,,,,,,
2/13/94,Yohan Cabaye," £86,000.00 ", £86.00 ,176cm,78kg,15,21,0.06,9,0,20.34,32,0,3,0,1,1,92,2,10,14,9,9,1,18,5,,,,,,,,,,,,0,0,5,57,30%,,,,,,,,,,,,,
5/1/90,Younes Kaboul," £35,000.00 ", £35.00 ,188cm,79kg,20,110,0.17,42,1,38.32,76,5,13,3,5,5,24,5,90,168,1,76,5,27,47,0,203,561,503,172,76%,130,109,419,33%,14,0,0,11,112,35%,,,,,,,,,,,,,
7/11/90,Zlatan Ibrahimovic," £220,000.00 ", £220.00 ,192cm,76kg,100,0,0,37,0,20.82,172,0,1,,,,,,,,,,,,,6,"1,010",,,,,,,,,,,,,,,1,63,174,,,477,79,"1,365",2,665,133,61,63
